lid,name,street,additional,city,province,postal_code,country,latitude,longitude,email,phone,www,source,is_primary
532,Unit B,ITEC Business Park,,Newry,,BT35 6DN,gb,54.1825,-6.339364,bookings@hylagen.com,028 3025 1833,www.hylagen.com,3,0
533,,140 Vulcans Lane,,Workington,CMA,CA14 2BP,gb,54.643684,-3.548999,enquiries@westlakelandmedicalgroup.com,07936 445639,www.westlakelandmedicalgroup.com,3,0
534,,53 Mitchell Street,,Glasgow,LKS,G1 3LN,gb,55.859505,-4.255922,info@westerwood.co.uk,0141 204 3400,www.westerwoodhealth.co.uk,3,0
535,,311 Main Street,,Bellshill,,ML4 1AW,gb,55.819235,-4.019153,info@lanarkshireaesthetics.com,01698 749846,www.lanarkshireaesthetics.com,3,0
536,,8 Greenfield Crescent,,Edgbaston,,B15 3BE,gb,52.47033,-1.922159,info@elatehealth.co.uk,0844 8159333,www.elatehealth.co.uk,3,0
537,,2 Highfield Road,,Edgbaston,,B15 3ED,gb,52.47161,-1.927016,reception@sagroups.co.uk,0121 285 4889,Currently not available,3,0
538,Utopia Salon,35 Lordswood Road,,Harbourne,,B17 7RP,gb,52.458746,-1.958967,enquiries@birminghamaesthetics.com,0121 2583259,www.birminghamaesthetics.com,3,0
539,,20 Chelmsley Lane,,Marston Green,,B37 7BG,gb,52.469376,-1.752954,enquiries@solihullmedicalcosmeticclinic.co.uk,0845 603 6150,www.solihullmedicalcosmeticclinic.co.uk,3,0
540,,17 Edgedwood Road,,Rednal,,B45 8SB,gb,52.389097,-1.999972,info@greenwood-dental.co.uk,0121 4537949,Currently not available,3,0
542,,3 While Road,,Sutton Coldfield,WMD,B72 1ND,gb,52.55772,-1.82643,info@jmdental.co.uk,0121 354 5433,www.jmdental.co.uk,3,0
543,,Little Aston Hall Drive,,Little Aston,WMD,B74 3UP,gb,52.60198,-1.873941,surgeon.titley@gmail.com,0121 5807151,Currently not available,3,0
544,Prospect House,13 Albert Road,,Tamworth,STS,B79 7JN,gb,52.636435,-1.692965,info@cosmedic-clinic.co.uk,0845 388 3808,www.cosmedic-clinic.co.uk,3,0
545,,11 Station Approach,,Dorridge,,B93 8JA,gb,52.37289,-1.753098,ask@dentelle.co.uk,01564 770770,www.dentelle.co.uk,3,0
546,Cutford House,Holyoaks Lane,,Bentley,WOR,B97 5SR,gb,52.314989,-1.998642,dr@drcamillahill.co.uk,07864 922453,www.drcamillahill.co.uk,3,0
547,,23 Broad Street,,Somerset,,BA1 5LN,gb,51.384741,-2.360389,info@medikas.co.uk,01225 470035,www.medikas.co.uk,3,0
548,FH Medi Spa Ltd,PO BOX 614,,Blackburn,LAN,BB2 5JE,gb,53.729482,-2.542392,lisa@fhmedispa.com,0800 122 3348,www.fhmedispa.com,3,0
549,,71  Rook Lane,,Bradford,WYK,BD4 9NA,gb,53.772922,-1.726671,missirvine@hotmail.co.uk,01274 783333,www.heatherirvine.co.uk,3,0
550,,549 Halliwell Road,,Bolton,LAN,BL1 8DB,gb,53.595797,-2.449317,auraaesthetics@hotmail.com,07912 312945,www.auraaesthetics.com,3,0
551,Barwood House,Bradshaw Brow,,Bolton,LAN,BL2 3DD,gb,53.602276,-2.407102,Rachelentwisle@msn.com,07880 658042,www.bibaesthetics.co.uk,3,0
552,,147 Lea Gate,,Harwood,,BL2 4BQ,gb,53.605195,-2.395571,radianceaesthetics@virginmedia.com,01204 822991,www.radianceskincare.co.uk,3,0
553,,15 Bridgefield Drive,,Bury,LAN,BL9 7PE,gb,53.594604,-2.265695,sandipshroff@aol.com,07976 358104,Currently not available,3,0
554,,13 New Church Road,,Hove,,BN3 4AA,gb,50.829082,-0.179736,info@hoveskinclinic.co.uk,01273 719834,www.hoveskinclinic.co.uk,3,0
555,,165 Duncairn Gardens,,Belfast,,BT15 2GE,gb,54.613553,-5.93301,info@auroraskinclinic.com,028 9074 4482,www.auroraskinclinic.com,3,0
